"filename", "language", "JavaScript", "SVG", "JSON", "Markdown", "MongoDB", "JSON with Comments", "SCSS", "HTML", "Protocol Buffers", "comment", "blank", "total"
"c:\Users\ash\Desktop\Antler\client\src\components\Watchlist\WatchlistTable.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\ash\Desktop\Antler\client\src\components\common\ButtonTWP.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\ash\Desktop\Antler\client\src\components\common\CheckBox.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\ash\Desktop\Antler\client\src\components\common\InputBox.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 54
"c:\Users\ash\Desktop\Antler\client\src\components\common\Modal.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\Users\ash\Desktop\Antler\client\src\components\common\NotificationPopups.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
"c:\Users\ash\Desktop\Antler\client\src\components\common\OutlinedInput.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\ash\Desktop\Antler\client\src\components\common\Spinner.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\ash\Desktop\Antler\client\src\components\common\TinyGraph.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 45
"c:\Users\ash\Desktop\Antler\client\src\components\common\TinyStockChart.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 87
"c:\Users\ash\Desktop\Antler\client\src\components\hooks\useResetState.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\ash\Desktop\Antler\client\src\components\hooks\useYfws.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 49
"c:\Users\ash\Desktop\Antler\client\src\components\layouts\MainLayout.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\ash\Desktop\Antler\client\src\components\layouts\SidebarLayout.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\ash\Desktop\Antler\client\src\components\layouts\layoutComponents\Autocomplete.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 113
"c:\Users\ash\Desktop\Antler\client\src\components\layouts\layoutComponents\Footer.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\ash\Desktop\Antler\client\src\components\layouts\layoutComponents\Header.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 154
"c:\Users\ash\Desktop\Antler\client\src\components\layouts\layoutComponents\MobileNavbar.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 115
"c:\Users\ash\Desktop\Antler\client\src\components\layouts\layoutComponents\Sidebar.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\ash\Desktop\Antler\client\src\components\layouts\layoutComponents\stocks.json", "JSON", 0, 0, 62145, 0, 0, 0, 0, 0, 0, 0, 1, 62146
"c:\Users\ash\Desktop\Antler\client\src\consts.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\ash\Desktop\Antler\client\src\context.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 100
"c:\Users\ash\Desktop\Antler\client\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\ash\Desktop\Antler\client\src\localStorage.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\ash\Desktop\Antler\client\src\media\AllTheData.js", "JavaScript", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 226
"c:\Users\ash\Desktop\Antler\client\src\scss\base\_base.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 2, 6, 39
"c:\Users\ash\Desktop\Antler\client\src\scss\base\_colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 0, 2, 7, 39
"c:\Users\ash\Desktop\Antler\client\src\scss\base\_normalize.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 124, 34, 190
"c:\Users\ash\Desktop\Antler\client\src\scss\base\_overwrites.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ash\Desktop\Antler\client\src\scss\base\_reusable.scss", "SCSS", 0, 0, 0, 0, 0, 0, 137, 0, 0, 15, 37, 189
"c:\Users\ash\Desktop\Antler\client\src\scss\base\_tailwindBase.scss", "SCSS", 0, 0, 0, 0, 0, 0, 240, 0, 0, 135, 93, 468
"c:\Users\ash\Desktop\Antler\client\src\scss\base\_tailwindUtilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 2489, 0, 0, 0, 759, 3248
"c:\Users\ash\Desktop\Antler\client\src\scss\base\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 7, 53
"c:\Users\ash\Desktop\Antler\client\src\scss\index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ash\Desktop\Antler\client\src\scss\main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 5, 15
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_autocomplete.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 3, 22
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_checkbox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 8, 92
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_custom_AntD.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 6, 38
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 62, 0, 0, 60, 10, 132
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_mobileNavbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_modules.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_outlinedInput.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"c:\Users\ash\Desktop\Antler\client\src\scss\modules\_slider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\ash\Desktop\Antler\client\src\scss\section\_login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\ash\Desktop\Antler\client\src\scss\section\_register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ash\Desktop\Antler\client\src\scss\section\_section.scss", "SCSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\ash\Desktop\Antler\client\src\utils\dataHandling.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\ash\Desktop\Antler\client\src\utils\date.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 20, 8, 68
"c:\Users\ash\Desktop\Antler\client\src\utils\format.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\ash\Desktop\Antler\client\src\utils\validation.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"c:\Users\ash\Desktop\Antler\client\tailwind.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ash\Desktop\Antler\media\allTheData.svg", "SVG", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ash\Desktop\Antler\media\bg1.svg", "SVG", 0, 396, 0, 0, 0, 0, 0, 0, 0, 0, 1, 397
"c:\Users\ash\Desktop\Antler\media\darkAnalytics.svg", "SVG", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ash\Desktop\Antler\server\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\ash\Desktop\Antler\server\.prettierrc", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ash\Desktop\Antler\server\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ash\Desktop\Antler\server\package-lock.json", "JSON", 0, 0, 21215, 0, 0, 0, 0, 0, 0, 0, 1, 21216
"c:\Users\ash\Desktop\Antler\server\package.json", "JSON", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\ash\Desktop\Antler\server\script\getItems.mongodb", "MongoDB", 0, 0, 0, 0, 1, 0, 0, 0, 0, 27, 4, 32
"c:\Users\ash\Desktop\Antler\server\script\stocks.json", "JSON", 0, 0, 101587, 0, 0, 0, 0, 0, 0, 0, 18471, 120058
"c:\Users\ash\Desktop\Antler\server\script\testUsers.mongodb", "MongoDB", 0, 0, 0, 0, 16, 0, 0, 0, 0, 11, 4, 31
"c:\Users\ash\Desktop\Antler\server\script\upload.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\ash\Desktop\Antler\server\script\uploadStocks.mongodb", "MongoDB", 0, 0, 0, 0, 2, 0, 0, 0, 0, 16, 7, 25
"c:\Users\ash\Desktop\Antler\server\src\index.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 54
"c:\Users\ash\Desktop\Antler\server\src\posts\controller.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 61
"c:\Users\ash\Desktop\Antler\server\src\posts\model.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\ash\Desktop\Antler\server\src\posts\posts.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\ash\Desktop\Antler\server\src\stocks\controller.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 35
"c:\Users\ash\Desktop\Antler\server\src\stocks\model.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 30
"c:\Users\ash\Desktop\Antler\server\src\stocks\stocks.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\ash\Desktop\Antler\server\src\swagger.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"c:\Users\ash\Desktop\Antler\server\src\users\contrUsers_Auth.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 53
"c:\Users\ash\Desktop\Antler\server\src\users\contrUsers_Trade.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 44, 25, 209
"c:\Users\ash\Desktop\Antler\server\src\users\controller.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 0, 0, 24, 19, 172
"c:\Users\ash\Desktop\Antler\server\src\users\middleware.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 23
"c:\Users\ash\Desktop\Antler\server\src\users\model.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 33, 12, 154
"c:\Users\ash\Desktop\Antler\server\src\users\users.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\ash\Desktop\Antler\server\src\utils.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 26
"Total", "-", 4668, 398, 226882, 40, 19, 14, 3368, 20, 66, 792, 20101, 256368
